segment_id,segment_description,road_name,lga,region,district,start_lat,start_lon,gda_x,gda_y
1845,THE HATCH SB,PACIFIC HIGHWAY,PORT MACQUARIE - HASTINGS,North,Mid North Coast M3Ed3,-30.61166003478261,151.7083264695652,4782160.693195652,9751289.560321739
1850,TARCUTTA RANGE,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-33.12172755454545,150.2845657060606,4507925.61430909,9609923.121872727
1851,"20M NORTH TOXTETH AVE,",LAWRENCE HARGRAVE DR,WOLLONGONG,South,Russell Vale M3Ed3,-34.2997236,150.9401159,4376837.5384,9662353.685
1852,MILLS ROAD,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.532596542857142,151.61610622857143,4791360.579242857,9742925.305385713
1855,HACKS FERRY SB,PACIFIC HIGHWAY,PORT MACQUARIE - HASTINGS,North,Mid North Coast M3Ed3,-30.9316756,152.21753180000002,4744309.63345,9798116.6963
1860,NORTH FROM AIRPORT ROUNDABOUT (MR76),NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-31.968533276923075,150.73213902692308,4634592.555642308,9655565.73716154
1864,WILSON RIVER BR NB,PACIFIC HIGHWAY,PORT MACQUARIE - HASTINGS,North,Mid North Coast M3Ed3,-31.3201109,152.8188646,4698432.6966,9853365.1066
1865,HACKS FERRY RD SB,PACIFIC HIGHWAY,PORT MACQUARIE - HASTINGS,North,Mid North Coast M3Ed3,-30.579174587500003,151.73182340833333,4785660.859083333,9753707.110066667
1866,BILLY BRETT BRIDGE SOUTH,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.5061539,151.63638185,4794203.5319,9744999.601824999
1869,WILSON RIVER BR SB,PACIFIC HIGHWAY,PORT MACQUARIE - HASTINGS,North,Mid North Coast M3Ed3,-31.3200775,152.819024,4698435.5483,9853380.4557
1870,DELLATORY CREEK,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-34.612672104,148.577926592,4346742.684888,9446724.534698
1874,HAYDONS WHARF RD NB,PACIFIC HIGHWAY,PORT MACQUARIE - HASTINGS,North,Mid North Coast M3Ed2,-31.3064927,152.8218316,4699923.9807,9853731.0443
1875,DUMARESQ CREEK,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.674446483333334,151.91225591111112,4774258.832416667,9770401.239955556
1879,HAYDONS WHARF RD SB,PACIFIC HIGHWAY,PORT MACQUARIE - HASTINGS,North,Mid North Coast M3Ed2,-31.3037954,152.8223393,4700219.7766,9853795.9365
